ANode,BNode,LINK_TYPE,DISTANCE,ONE_WAY
100395,100396,11,0.1654,0
100396,100224,11,1.6692,0
100396,100225,11,1.60543,0
100396,100395,11,0.1654,0
100397,100218,11,0.62134,0
100397,100398,11,0.43245,0
100397,100405,11,0.32226,0
100398,100181,11,1.49214,0
100398,100198,11,0.32016,0
100398,100397,11,0.43245,0
100399,100177,11,0.64152,0
100399,100218,11,0.2792,0
100399,100220,11,1.34413,0
100400,100177,11,0.43381,0
100400,100194,11,0.28891,0
100400,100220,11,1.94854,0
100401,100216,11,0.21235,0
100401,100402,11,0.35971,0
100401,100404,11,0.55058,0
100402,100401,11,0.35971,0
100402,100403,11,0.71134,0
100402,100404,11,0.5859,0
100403,100203,11,2.18705,0
100403,100232,11,0.72019,0
100403,100402,11,0.71134,0
100404,100253,11,1.64296,0
100404,100401,11,0.55058,0
100404,100402,11,0.5859,0
100405,100198,11,0.1501,0
100405,100199,11,0.58197,0
100405,100397,11,0.32226,0
100406,100189,11,1.27353,0
100406,100207,11,0.69693,0
100406,100213,11,1.52086,0
100407,100240,11,0.56091,0
100407,100243,11,2.58174,0
100407,100248,11,0.2834,0
100408,100999,11,3.878,0
100408,100232,11,0.37494,0
100408,100249,11,0.18437,0
100409,100267,11,0.50038,0
100409,100410,11,2.11519,0
100409,100411,11,1.96678,0
100410,100278,11,5.70648,0
100410,100409,11,2.11519,0
100410,100411,11,1.91298,0
100411,100273,11,1.61594,0
100411,100409,11,1.96678,0
100411,100410,11,1.91298,0
100412,100273,11,0.3236,0
100412,100413,11,1.11979,0
100412,100414,11,0.8217,0
100413,100269,11,0.52304,0
100413,100412,11,1.11979,0
100413,100414,11,1.22363,0
100414,100268,11,0.24397,0
100414,100412,11,0.8217,0
100414,100413,11,1.22363,0
100415,100268,11,4.01763,0
100415,100418,11,0.76686,0
100415,100419,11,0.51613,0
100416,100275,11,1.30724,0
100416,100417,11,0.93138,0
100416,100420,11,0.6749,0
100417,100416,11,0.93138,0
100417,100418,11,0.16585,0
100417,100419,11,0.46812,0
100418,100262,11,0.93686,0
100418,100415,11,0.76686,0
100418,100417,11,0.16585,0
100419,100415,11,0.51613,0
100419,100417,11,0.46812,0
100419,100420,11,0.04504,0
100420,100416,11,0.6749,0
100420,100419,11,0.04504,0
100420,100426,11,2.41859,0
100421,100262,11,0.64797,0
100421,100265,11,0.59112,0
100421,100423,11,4.31627,0
100422,100259,11,3.58283,0
100422,100423,11,0.66924,0
100423,100421,11,4.31627,0
100423,100422,11,0.66924,0
100423,100424,11,1.17042,0
100424,100259,11,5.36235,0
100424,100260,11,0.28343,0
100424,100423,11,1.17042,0
100425,100256,11,0.7352,0
100425,100264,11,2.21763,0
100425,100266,11,1.76099,0
