ATCOCode,Node
627007020040,6765
627007020030,6766
627007020145,6578
627007020120,6578
627007020110,6763
627007020100,6578
627007020190,6850
627007020180,6776
627007020170,6780
627007020160,6792
627003040050,6580
627003040007,6415
627003030570,6179
627003030550,6308
627003040355,6166
627003040300,6135
627003040280,6373
627003040125,6413
627003040560,6131
627003040550,6308
627003040357,6162
627003040356,6166
627003060335,6125
627003050335,6120
627003050060,6572
627003040570,6167
627003020450,6126
627003020440,6177
627003020430,6122
627003020420,6119
627003020510,6161
627003020500,6141
627003020490,6167
627003020460,6148
627003030150,6189
627003030125,6413
627003030007,6415
627003020520,6120
627003030530,6130
627003030357,6162
627003030356,6166
627003030355,6166
627004010100,6280
627004010090,6279
627004010080,6295
627004010075,6355
627004010190,6342
627004010180,6345
627004010170,6321
627004010120,6493
627004010230,6343
627004010220,6160
627004010210,6158
627004010200,6347
627004010250,6261
627004010245,6268
627004010243,6097
627004010240,6248
627003080004,6162
627003080003,6366
627003080002,6166
627003080001,6162
627003080008,6419
627003080007,6419
627003080006,6419
627003080005,6419
627004010035,6364
627004010030,6274
627004010020,6528
627004010015,6533
627004010070,6356
627004010065,6534
627004010060,6535
627004010050,6248
627004020070,6356
627004020065,6527
627004020060,6535
627004020050,6248
627004020120,6493
627004020110,6295
627004020100,6279
627004020075,6355
627004020200,6348
627004020190,6342
627004020180,6341
627004020170,6321
627004020240,6248
627004020230,6344
627004020220,6160
627004020210,6158
627004010260,6260
627004010256,6260
627004010254,6257
627004010252,6257
627004010310,6249
627004010300,6268
627004010290,6252
627004010270,6257
627004010350,6089
627004010340,6264
627004010330,6305
627004010320,6244
627004020030,6274
627004020020,6569
627004010380,6271
627004010375,6258
627004030130,6094
627004030010,6265
627004020400,6251
627004020395,6251
627004040130,6094
627004030355,6245
627004030280,6367
627004030140,6091
627004040360,6089
627004040280,6267
627004040160,6172
627004040150,6099
6270050010,6245
627004060040,6284
627004050040,6291
627004040370,6266
627004020252,6257
627004020250,6262
627004020245,6264
627004020243,6097
627004020270,6257
627004020260,6260
627004020256,6260
627004020254,6257
627004020320,6250
627004020310,6247
627004020300,6268
627004020290,6252
627004020390,6244
627004020380,6271
627004020375,6258
627004020350,6089
627001060120,6007
627001060100,6003
627001060080,6186
627001050790,5894
627002010005,6612
627001070120,6007
627001060820,5961
627001060800,5930
627002010040,6610
627002010030,6606
627002010015,6597
627002010010,6616
627002020020,6596
627002020010,6616
627002020005,6612
627002010050,6611
627001040460,5961
627001040450,5962
627001040440,5965
627001040430,5966
627001040760,5954
627001040490,5892
627001040480,5893
627001040470,5964
627001040775,5914
627001040773,6024
627001040771,6004
627001040770,5932
627001050260,5902
627001050120,6005
627001050100,6003
627001040780,6103
627003010125,6418
627003010120,6417
627003010110,6421
627003010100,6410
627003010170,6396
627003010160,6396
627003010150,6386
627003010140,6376
627003010210,6376
627003010200,6375
627003010190,6391
627003010180,6380
627003010250,6388
627003010240,6389
627003010230,6390
627003010220,6375
627002030005,6614
627002020050,6611
627002020040,6609
627002020030,6606
