SName,TIPLOC,Alpha,Data_Source,EASTING,NORTHING,Cube_Node
MORETON-ON-LUGG (TARMAC),MRTNTAR,0,MCA,350914,247020,999999
MORETON-ON-LUGG FHH,MRTNFHH,0,MCA,350850,247091,999999
MORETON-ON-LUGG GBRF,MRTNGBF,0,MCA,351043,246439,999999
MORFA MAWDDACH,MFAM,MFA,MSN,262840,314168,999999
MORLAIS COLLY,MORLSCL,0,MCA,257362,202312,999999
MORLAIS JN,MORLASJ,0,MCA,257102,202026,999999
MORLEY,MRLY,MLY,MSN,427020,428209,999999
MORPETH,MRPTHRP,MPT,MSN,420347,585400,999999
MORPETH BARMOOR THRU SDG,MRPTBTS,0,MCA,420773,585447,999999
MORPETH LOOP,MRPTLP,0,MCA,421014,585745,999999
MORPETH NORTH JN,MRPTNJN,0,MCA,421247,586094,999999
MORPETH RECP.,MRPTREC,0,MCA,420523,585428,999999
MORPETH REVERSING SIDING,MRPTHRS,0,MCA,420715,585461,999999
MORRIS COWLEY,MORRISC,0,MCA,455699,203717,999999
MORRIS COWLEY M.A.T.,MORRMAT,0,MCA,456047,203922,999999
MORTIMER,MTIMER,MOR,MSN,467233,164118,999999
MORTLAKE,MRTLKE,MTL,MSN,520413,175767,999999
MORTON,MRTO,0,MCA,441365,360648,999999
MOSELEY,LIFOMOS,0,MCA,407947,283376,999999
MOSES GATE,MSGT,MSS,MSN,373487,406706,999999
MOSES GATE LOOPS,MSGTLPS,0,MCA,373002,407069,999999
MOSS,JNCRMOS,0,MCA,458886,415523,999999
MOSS BAY IRONWORKS,WKNTMBI,0,MCA,298759,526374,999999
MOSS SIDE,MSSD,MOS,MSN,337937,430190,999999
MOSSBAND,MSBD,0,MCA,334187,566144,888888
MOSSEND,MOSENY,0XM,MCA,274926,660803,888888
MOSSEND DELTA COAL,MOSEDCE,0,MCA,274965,660431,888888
MOSSEND DOWN GOODS LOOP,MOSEDGL,0,MCA,274987,660399,888888
MOSSEND DOWN SIDINGS FLHH,MOSEDFH,0,MCA,274793,660941,888888
MOSSEND DOWN YARD,MOSEDNY,0,MCA,274793,660941,888888
MOSSEND DOWN YARD GBRF,MSSNDET,0,MCA,274945,660762,888888
MOSSEND EAST JN,MOSENDE,0,MCA,275566,659980,888888
MOSSEND EUROTERMINAL,MOSEURT,0,MCA,274891,661123,888888
MOSSEND LOCO HOLDING SDGS,MOSELHS,0,MCA,274949,660862,888888
MOSSEND MG GAS PRODUCTS,MOSEGAS,0,MCA,275047,660312,888888
MOSSEND NORTH EXIT,MOSENXT,0,MCA,274926,660803,888888
MOSSEND NORTH JN,MOSENDN,0,MCA,275019,660460,888888
MOSSEND PD STLG GBRF,MOSEPDS,0,MCA,274805,661330,888888
MOSSEND SHUNT & MARSHALLNG,MOSESTR,0,MCA,274713,661710,888888
MOSSEND SIGNAL M311,MOSE311,0,MCA,275019,660460,888888
MOSSEND SOUTH JN,MOSENDS,0,MCA,275109,659724,888888
