ATCOCode,Node
090002512955,55487
090002512956,55487
090002290355,55476
090002590026,55474
090002590027,55470
090002590028,55474
090002300371,55476
090002300372,55476
090002300374,55476
090002300375,55476
090002301342,55476
090002470304,55470
090002470305,55470
090002470306,55470
090002470308,55470
090002470310,55470
090002470311,55470
090002561760,55487
090002562332,55487
090002590034,55470
090002470319,55470
090002470312,55470
090002512965,55487
090002512966,55487
090002590189,55474
090002590190,55474
090002590184,55470
090002492728,55475
090002590191,55471
090002590192,55471
090002590194,55474
090002511650,55487
090002351401,55475
090002351879,55475
090002352227,55475
090002361250,55487
090002361252,55487
090002432671,55475
090002432261,55475
090002511465,55487
090002511549,55487
090002511649,55487
090002590274,55471
090002590275,55471
090002590276,55471
090002590220,55470
090002590221,55471
090002590222,55471
090002590223,55471
090002590252,55470
090033102098,55495
090033102104,55495
090033102137,55495
090033102139,55497
090002590260,55471
090002590263,55471
090002590265,55471
090002590266,55471
090002590268,55471
090002590278,55471
090002590282,55471
090002590283,55471
090002590284,55471
090002590229,55471
090002590230,55470
090002590231,55470
090002590232,55471
090002590233,55471
090002590234,55471
090002590235,55470
090002590236,55471
090002590237,55470
090002590238,55471
090002590225,55471
090033362841,55497
090002590294,55471
090002590297,55471
090033362216,55497
090033362269,55495
090033362488,55497
090033362502,55495
090033362739,55497
090002590277,55471
090033362100,55497
090033362134,55497
090033362141,55497
090002590270,55471
090002590271,55471
090002590273,55471
090033371635,55496
090033371769,55496
090002590209,55474
090002590210,55471
090002590211,55471
090002590212,55471
090002590213,55471
090002590214,55471
090002590216,55471
090002590259,55470
090033372057,55496
090033372101,55494
090002590240,55470
090002590242,55471
090002590245,55470
090002590207,55474
090002590208,55474
090033102140,55495
090033102144,55495
090033102145,55495
090033102148,55495
090033102149,55495
090033102156,55494
090033102161,55496
090033362048,55496
090033371906,55494
090033371926,55494
090033372005,55494
090002590226,55471
090002590227,55471
090002590228,55471
090002590298,55471
090002590318,55471
090002591241,55470
090002591242,55470
090002590200,55471
090033372294,55496
090002590195,55471
090002590196,55471
090002590199,55471
090002590201,55471
090002590202,55474
090002590203,55471
090002590204,55470
090002590206,55471
090002590254,55471
090002590255,55470
090002590258,55471
090002590218,55471
090002590269,55471
090002590248,55471
090002590250,55471
